,transcript_ID
1183,ENST00000545346
1184,ENST00000379052
1185,ENST00000509686
1186,ENST00000425446
1187,ENST00000503965
1188,ENST00000318204
1189,ENST00000504055
1190,ENST00000510826
1191,ENST00000508508
1192,ENST00000376560
1193,ENST00000376557
1194,ENST00000481741
1195,ENST00000498336
1196,ENST00000491173
1197,ENST00000470703
1198,ENST00000376511
1199,ENST00000496955
1200,ENST00000476704
1201,ENST00000461593
1202,ENST00000468181
1203,ENST00000484449
1204,ENST00000473954
1205,ENST00000408340
1206,ENST00000244520
1207,ENST00000374018
1208,ENST00000374017
1209,ENST00000474635
1210,ENST00000370370
1211,ENST00000464221
1212,ENST00000479773
1213,ENST00000616122
1214,ENST00000355238
1215,ENST00000369622
1216,ENST00000444272
1217,ENST00000531313
1218,ENST00000533890
1219,ENST00000409806
1220,ENST00000498662
1221,ENST00000458251
1222,ENST00000409948
1223,ENST00000462655
1224,ENST00000253329
1225,ENST00000340881
1226,ENST00000367113
1227,ENST00000449320
1228,ENST00000640569
1229,ENST00000485863
1230,ENST00000367112
1231,ENST00000544823
1232,ENST00000537883
1233,ENST00000540719
1234,ENST00000544361
1235,ENST00000541696
1236,ENST00000431643
1237,ENST00000360876
1238,ENST00000413917
1239,ENST00000397011
1240,ENST00000258742
1241,ENST00000485250
1242,ENST00000438012
1243,ENST00000413919
1244,ENST00000437140
1245,ENST00000477844
1246,ENST00000489145
1247,ENST00000258729
1248,ENST00000619562
1249,ENST00000421467
1250,ENST00000467592
1251,ENST00000497563
1252,ENST00000468263
1253,ENST00000491719
1254,ENST00000476938
1255,ENST00000468005
1256,ENST00000265753
1257,ENST00000489484
1258,ENST00000353999
1259,ENST00000479338
1260,ENST00000495187
1261,ENST00000223073
1262,ENST00000481788
1263,ENST00000415472
1264,ENST00000451834
1265,ENST00000541284
1266,ENST00000356162
1267,ENST00000423368
1268,ENST00000361528
1269,ENST00000414802
1270,ENST00000428680
1271,ENST00000315544
1272,ENST00000242351
1273,ENST00000464606
1274,ENST00000460845
1275,ENST00000471652
1276,ENST00000401878
1277,ENST00000307403
1278,ENST00000440108
1279,ENST00000392761
1280,ENST00000486747
1281,ENST00000463229
1282,ENST00000463026
1283,ENST00000468250
1284,ENST00000466199
1285,ENST00000475415
1286,ENST00000468611
1287,ENST00000465670
1288,ENST00000494658
1289,ENST00000497500
1290,ENST00000410002
1291,ENST00000487595
1292,ENST00000486136
1293,ENST00000548367
1294,ENST00000498363
1295,ENST00000480547
1296,ENST00000495009
1297,ENST00000492771
1298,ENST00000479504
1299,ENST00000466809
1300,ENST00000465058
1301,ENST00000469723
1302,ENST00000474105
1303,ENST00000297071
1304,ENST00000392502
1305,ENST00000538367
1306,ENST00000621813
1307,ENST00000497730
1308,ENST00000475970
1309,ENST00000482395
1310,ENST00000486934
1311,ENST00000494255
1312,ENST00000474586
1313,ENST00000490942
1314,ENST00000448549
1315,ENST00000476233
1316,ENST00000354667
1317,ENST00000618183
1318,ENST00000360787
1319,ENST00000463181
1320,ENST00000356674
1321,ENST00000490912
1322,ENST00000495810
1323,ENST00000450169
1324,ENST00000409909
1325,ENST00000409292
1326,ENST00000468872
1327,ENST00000410044
1328,ENST00000409987
1329,ENST00000223084
1330,ENST00000409782
1331,ENST00000409952
1332,ENST00000480956
1333,ENST00000436336
1334,ENST00000451876
1335,ENST00000292476
1336,ENST00000430038
1337,ENST00000441580
1338,ENST00000412686
1339,ENST00000484112
1340,ENST00000452047
1341,ENST00000471455
1342,ENST00000440514
1343,ENST00000482251
1344,ENST00000465132
1345,ENST00000469897
1346,ENST00000620394
1347,ENST00000614484
1348,ENST00000618262
1349,ENST00000614370
1350,ENST00000618411
1351,ENST00000611405
1352,ENST00000431645
1353,ENST00000423692
1354,ENST00000474896
1355,ENST00000460194
1356,ENST00000448764
1357,ENST00000449389
1358,ENST00000466432
